T0	h	T1	mu	sigma	f	rmse	r2
Breast Ca (NST)	8.2312613861222	1.66415608958461	8.14121283438768	2.96591298015126	0.0917598688373003	17.3903381298089	0.741013623285779	0.974226740870622
Breast Ca lobular	12.5768475875318	0	12.1874932868732	3.02143035167108	0.085840763350209	0.92	0.975592020047296	0.973422123153591
Ovarial Ca	4.52799929441405	0.365065944103007	0	4.65861891812281	1.96232878889482	0.92	0.393456996492072	0.957745915385455
Endometrial Ca	5.97158444604066	1.2462611592762	5.95918466084022	2.95819944697943	0.181958832736923	18.7942767691723	0.454365898384404	0.977010742150837
Esophageal Ca	2.97759711338598	0.536169906961035	2.97446813693707	2.96605605932508	0.230230275798816	0.92	0.167573604740855	0.96157730025628
Gastric AdenoCa	4.34932409535043	0.739218639938727	4.34799750936592	2.89974205254037	0.281055340937733	0.92	0.125345508374788	0.988253569651484
Colon AdenoCa	4.8148989377582	0.983250538053987	4.81133871190182	2.9387751161093	0.348555835109517	20.9263281353197	0.341282153483854	0.973778795251435
Colon AdenoCa muc	3.57119907289145	0.887466995724856	3.56993225515091	3.09968740155754	0.612647175432429	0.92	0.247257157400179	0.958842363229805
Rectum AdenoCa	5.25529633854289	0.947862806786845	5.15437491714354	3.01272270351033	0.134278188181574	21.3549298486096	0.500997848080915	0.96481449746564
Pancreas AdenoCa	3.49405338439495	0.325579840016023	3.46416220005114	2.97077451966079	0.137030725120445	0.92	0.136137495392481	0.977168471060431
NSCLC	5.40036173395256	0.58789796401942	5.3856772629552	2.98314304994555	0.135466200172394	0.92	0.256439194567146	0.979205923218667
HNSCC	10.5859104987354	1.2272545973038	10.585899345169	2.80978318889411	0.358460624810448	0.92	0.332198900853025	0.988081829393516
Renal Cell Ca	7.48846251779983	1.69545652833348	7.48551794168091	2.8150404216131	0.376969410046889	33.7960617861943	1.03441575643703	0.932456273377056
Urothelial Ca	4.1648188593507	0.64741605161086	4.1613889390416	2.9539857044662	0.161668208998202	22.2351670831505	0.230145043217639	0.977191842443577
